x;y
120;117
118;117
117;117
115;117
113;117
110;117
107;117
105;117
102;117
96;117
93;117
92;117
92;115
92;108
92;104
92;100
92;97
92;90
92;88
92;85
92;82
88;77
86;75
83;74
81;72
75;69
72;67
69;65
65;62
59;57
56;55
54;53
52;50
47;43
45;40
43;37
41;34
35;30
32;28
29;26
26;24
19;20
16;18
13;17
9;15
4;12
4;10
4;7
4;5
4;0
4;-2
4;-4
4;-8
4;-11
4;-13
4;-15
-2;-18
-5;-20
-8;-21
-10;-22
-13;-24
-19;-28
-21;-30
-24;-33
-26;-35
-31;-40
-33;-43
-35;-45
-37;-48
-41;-53
-43;-56
-46;-57
-49;-59
-56;-63
-59;-64
-63;-66
-66;-67
-72;-67
-75;-67
-78;-67
-81;-67
-82;-72
-82;-75
-82;-78
-82;-81
-82;-88
-84;-90
-86;-93
-88;-95
-91;-100
-93;-103
-97;-104
-103;-108
-107;-109
-110;-111
-113;-112
-113;-112
-113;-112
-113;-112
-113;-112
-113;-112
-113;-116
-113;-117
-113;-119
-113;-121
-113;-123
-113;-123
-113;-123
-113;-123
-113;-120
-113;-117
-113;-113
-113;-109
-113;-102
-113;-100
